VALUE_ID,VALUE_DESCRIPTION,FI
1,Azores,Azores
4,Albania,Albania
7,Andorra,Andorra
14,Kosovo,Kosovo
16,Austria,Itävalta
24,Belgium,Belgia
37,Bulgaria,Bulgaria
62,Cyprus,Kypros
63,Czech Republic,Tšekki
67,Denmark,Tanska
78,Faroe Islands,Färsaaret
81,Finland,Suomi
82,France,Ranska
95,Germany,Saksa
98,Gibraltar,Gibraltar
101,Greece,Kreikka
102,Greenland,Grönlanti
111,Vatican City,Vatican City
114,Hungary,Unkari
115,Iceland,Islanti
120,Ireland,Irlanti
122,Italy,Italia
139,Liechtenstein,Liechtenstein
141,Luxembourg,Luxemburg
144,Madeira,Madeira
149,Malta,Malta
157,Monaco,Monaco
166,Netherlands,Alankomaat
179,Norway,Norja
193,Poland,Puola
194,Portugal,Portugali
198,Romania,Romania
210,San Marino,San Marino
221,Spain,Espanja
228,Sweden,Ruotsi
229,Switzerland,Sveitsi
241,Turkey,Turkki
246,United Kingdom,Yhdistynyt kuningaskunta
276,Armenia,Armenia
277,Azerbaijan,Azerbaidžan
278,Belarus,Valko-Venäjä
279,Croatia,Kroatia
280,Estonia,Viro
281,Georgia,Georgia
282,Kazakhstan,Kazakstan
284,Kyrgyzstan,Kirgisia
285,Latvia,Latvia
286,Lithuania,Liettua
287,Moldova,Moldova
288,Russian Federation,Venäjä
289,Slovakia,Slovakia
290,Slovenia,Slovenia
291,Tajikistan,Tadžikistan
293,Turkmenistan,Turkmenistan
294,Ukraine,Ukraina
295,Uzbekistan,Uzbekistan
297,Bosnia and Herzegovina,Bosnia ja Hertsegovina
310,Black Sea,Black Sea
312,Åland Islands,Ahvenanmaa
313,Guernsey,Guernsey
314,Isle of Man,Mansaari
315,Jersey,Jersey
316,Macedonia,Macedonia
318,Montenegro,Montenegro
319,Serbia,Serbia
322,Akrotiri and Dhekelia,Akrotiri and Dhekelia
325,North Sea,North Sea
326,Baltic Sea,Baltic Sea
327,Gulf of Bothnia,Gulf of Bothnia
328,English Channel,English Channel
329,Bay of Biscay,Bay of Biscay
330,Irish Sea,Irish Sea
331,Norwegian Sea,Norwegian Sea
332,Gulf of Finland,Gulf of Finland
333,Gulf of Riga,Gulf of Riga
334,Straight of Gibraltar,Straight of Gibraltar
335,Ligurean Sea,Ligurean Sea
336,Turrhenian Sea,Turrhenian Sea
337,Adriatic Sea,Adriatic Sea
338,Ionian Sea,Ionian Sea
339,Agean Sea,Agean Sea
340,Caspian Sea,Caspian Sea
341,Sea of Azov,Sea of Azov
342,White Sea,White Sea
343,Barents Sea,Barents Sea
344,Sea of Crete,Sea of Crete
21,Bangladesh,Bangladesh
28,Bhutan,Bhutan
36,Brunei Darussalam,Brunei
39,Myanmar,Myanmar (Burma)
52,China,Kiina
65,"Korea, North","Korea, North"
116,India,Intia
117,Indonesia,Indonesia
125,Japan,Japani
130,"Korea, South","Korea, South"
133,Lao People's Democratic Republic,Laos
146,Malaysia,Malesia
147,Maldives,Malediivit
158,Mongolia,Mongolia
165,Nepal,Nepal
191,Philippines,Filippiinit
217,Singapore,Singapore
222,Sri Lanka,Sri Lanka
231,Taiwan,Taiwan
234,Thailand,Thaimaa
255,Vietnam,Vietnam
298,Cambodia,Kambodža
